SAMPLE NAME,Nnet,Cnet ,ROIAREA,ROIDIAM
F1-2,0.0003912,0.034118652,1.702881,1.472472
F1-2,0.000595247,0.036095855,1.689148,1.466523
F1-2,0.000330111,0.023348051,0.7415771,0.9717023
F1-2,5.59544E-05,0.029986771,1.098633,1.182718
F1-2,0.000136318,0.020237538,1.304626,1.288837
F1-2,0.000540188,0.018574342,0.7278442,0.962663
F1-2,0.000241248,0.025029002,0.9063721,1.074257
F1-2,0.000384146,0.025444847,0.8102417,1.015693
F1-2,0.000442682,0.028870334,0.3433228,0.6611596
F1-2,0.000536712,0.031893604,0.6317139,0.8968406
F1-2,0.000538681,0.008328445,0.3845215,0.6997056
F1-2,0.000603976,0.01770078,0.9475708,1.098401
F1-2,0.00096743,0.022373886,0.4943848,0.7933916
F1-2,-1.27538E-05,0.022231819,1.153564,1.211926
F1-2,-5.31085E-05,0.032801165,0.5905151,0.8671027
F1-2,0.00036265,0.027268105,0.604248,0.8771274
F1-2,0.00046909,0.026947785,0.5905151,0.8671027
F1-2,0.00022337,0.03131623,0.604248,0.8771274
F1-2,0.000354512,0.027881243,1.126099,1.197411
F1-2,0.000161568,0.047791037,1.249695,1.261412
F1-2,0.000470859,0.045111338,1.153564,1.211926
F1-2,5.5276E-05,0.021423553,0.8926392,1.066088
F1-2,0.000364408,0.036887823,1.235962,1.254462
F1-2,-4.39527E-05,0.004791102,2.210999,1.677835
F1-2,0.000664907,0.040844931,1.675415,1.460549
F1-2,0.000238425,0.03772137,0.9475708,1.098401
F1-2,-0.000256333,0.037276948,0.302124,0.6202227
F1-2,0.000524074,0.047707762,0.9338379,1.090412
F1-2,0.000514187,0.041147657,1.194763,1.233377
F1-2,0.000120579,0.042202672,0.9475708,1.098401
F1-2,0.00015334,0.041993692,0.920105,1.082365
F1-2,0.000222882,0.034166641,0.9750366,1.114206
F1-2,0.000298982,0.037830725,1.565552,1.411851
F1-2,5.68811E-06,0.011437566,1.387024,1.328914
F1-2,0.000178945,0.04052693,1.222229,1.247474
F1-2,0.00028058,0.035920864,0.8102417,1.015693
F1-2,0.000343529,0.038375452,0.617981,0.8870388
F1-2,0.000485841,0.0431644,1.318359,1.295603
F1-2,-0.000202915,0.034529436,0.3707886,0.6870973
F1-2,0.001386955,0.025407229,0.4257202,0.7362362
F1-2,0.000212324,0.037836714,0.8651733,1.049558
F1-2,0.00027779,0.021072419,0.8514404,1.041195
F1-2,0.000321953,0.034185968,0.3982544,0.7120907
F1-2,-3.5307E-05,0.036334447,1.208496,1.240445
F1-2,9.93077E-05,0.032373753,0.604248,0.8771274
F1-2,0.0005885,0.029122136,0.3570557,0.6742532
F1-2,0.00076647,0.027273665,0.5493164,0.8363082
